text,label,source,category
"Eh bro, good news lah! Your Bantuan Sara Hidup approved already, RM200 masuk e-wallet soon. Click <URL> verify bank Maybank details cepat la, don't miss out ya handsome 😘",scam,perplexity_sonar,mixed
"Hai sayang, congrats! Kerajaan bagi RM100 free for you. Transfer to Touch n Go eWallet instant. Enter <OTP> here and <PHONE> call me if stuck, muah! 💋",scam,perplexity_sonar,mixed
"Oi, you got STR Bantuan approved <DATE>! RM150 waiting in Boost wallet. Click <URL> top up your IC number sikit je, easy money for cute you la 😉",scam,perplexity_sonar,mixed
"Darling, PM Anwar approve your Sara Hidup aid RM300! Link <URL> claim now, masukkan Public Bank info and <RM_AMOUNT> ready. Call <PHONE> if shy, hehe 😍",scam,perplexity_sonar,mixed
"Woi friend, Bantuan Tunai RM100 got for you! E-wallet ShopeePay load up free. Verify with <OTP> kat <URL>, quick quick before habis, love you lah ❤️",scam,perplexity_sonar,mixed
"Baby, your e-Wallet claim RM250 success! Bantuan Sara Hidup direct from govt. Click <URL> share CIMB account no, transfer back fast fast ya sexy 😜",scam,perplexity_sonar,mixed
"Eh korang, good one! RM180 Bantuan approved, masuk GrabPay tomorrow. <URL> je fill MyKad details, call <PHONE> got problem, manja sikit la 😉",scam,perplexity_sonar,mixed
"Sweetie, Sara Hidup RM100 yours! No need apply, just <URL> confirm RHB bank and <OTP>. Claim now or lose, come la talk with me 😘💕",scam,perplexity_sonar,mixed
"Bro, lucky you! Kerajaan bagi extra RM400 e-wallet aid. <DATE> payout, click <URL> verify AmBank, simple je. You owe me date if success haha 😍",scam,perplexity_sonar,mixed
"Hai pretty, Bantuan Sara Hidup RM150 locked for you! Transfer to MAE wallet, enter <PHONE> and <URL> details. Cepat claim, miss you already lah 😘",scam,perplexity_sonar,mixed
"Oi bro, your Shopee order RM<RM_AMOUNT> got system error lah! PM me sekarang or order cancel terus. Refund to wallet only if transfer RM<RM_AMOUNT> to <PHONE> fast fast!",scam,perplexity_sonar,mixed
"URGENT! Lazada detect fraud on your acc. Need verify now with <OTP> or all order lost. Transfer RM50 to <PHONE> for refund wallet, cepat or bank block ah!",scam,perplexity_sonar,mixed
"Carousell seller here, your item ready but payment fail. System error, pay again RM<RM_AMOUNT> to my Maybank <PHONE> or deal off! Hurry la before stock gone.",scam,perplexity_sonar,mixed
Mudah.my alert: Buyer paid you RM<RM_AMOUNT> but glitch. Transfer back RM<RM_AMOUNT> to <PHONE> for full refund or police report incoming! Act now bro!,scam,perplexity_sonar,mixed
Shopee emergency! Your recent purchase RM<RM_AMOUNT> need reprocess. Send <OTP> + transfer to <PHONE> or account suspend forever. Jangan lambat lah!,scam,perplexity_sonar,mixed
