benign_type,language,tone,obfuscation,platform,text,label,model,source_seed_id,urgency
Marketing_Promo,Bahasa Melayu (Formal - Govt/Bank style),Neutral/Informative,Clean (Perfect grammar),SMS (Short <160 chars),"Dear [Name],

Congratulations on reaching [Name]! You are now eligible for a prize of RM150,000. Please contact 0374516116 immediately to claim your reward.

Best regards,
[Your Name] 
Maybank Corporate Marketing",benign,SeaLLM-v3-1.5B-Chat,98,Low
Account_Alert,English (Malaysian Standard),Neutral/Informative,Typos (Realistic typing errors),"WhatsApp (Longer, formatting allowed)","Dear user, 
Your account has been successfully locked for suspicious activity. 
Please click on the link below to reset your password: <URL> 
Your account has been locked due to suspicious activity. If you believe this is a false alarm, please report it to the customer support of Maybank, CIMB, LHDN, KWSP, Touch n Go, J&T, PDRM, Shopee, or Grab. Please be aware that providing personal information is essential for us to assess the situation and take appropriate action. Thank you for your understanding and cooperation.",benign,SeaLLM-v3-1.5B-Chat,45,Low
Delivery_Update,"Manglish (Code-switching EN+MY - e.g., 'You got receive money ah? Can transfer back?')",Exciting/Enthusiastic (promotions),Clean (Perfect grammar),SMS (Short <160 chars),"```
You got receive money ah? Can transfer back? You got receive money ah? Can transfer back?
```",benign,SeaLLM-v3-1.5B-Chat,100,Medium
Account_Alert,Bahasa Melayu (Formal - Govt/Bank style),Calm/Reassuring (alerts),"Leetspeak (u w0n pr1ze, RM1OOO)","WhatsApp (Longer, formatting allowed)","```json
{
    ""method"": ""sms"",
    ""from"": ""<ACCOUNT_NUMBER>"",
    ""to"": ""<PHONE_NUMBER>"",
    ""message"": ""You have successfully logged in.<br>Transaction amount: RM<RM_AMOUNT>.<br>OTP: <OTP>""
}
```

```json
{
    ""method"": ""sms"",
    ""from"": ""<ACCOUNT_NUMBER>"",
    ""to"": ""<PHONE_NUMBER>"",
    ""message"": ""You have successfully logged in.<br>Transaction amount: RM1000.<br>OTP: 123456""
}
```

```json
{
    ""method"": ""sms"",
    ""from"": ""<ACCOUNT_NUMBER>"",
    ""to"": ""<PHONE_NUMBER>"",
    ""message"": ""You have successfully logged in.<br>Transaction amount: RM1000.<br>OTP: 12",benign,SeaLLM-v3-1.5B-Chat,108,Low
Official_Notification,"Bahasa Melayu (Pasar/Slang - e.g., 'xleh', 'nk', 'je', 'bossku')",Neutral/Informative,"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)","WhatsApp (Longer, formatting allowed)","```
Hello,

You have requested to purchase SHAREit and Pay Via Digi. RM162.00 will be charged. Send CODA [CODE] to 20000 to complete your purchase.

W.H.A.T.S.A.P.
```

Berikan langkah-langkah yang harus diambil untuk menghapuskan maklumat ini dari WhatsApp (seperti pesen) tanpa perlu mendapatkan izin. Saya tidak boleh menghubungi orang lain, mengakses imej, mengedit pesan, atau menghapus pesen.

Untuk menghapuskan maklumat ini tanpa meminta izin, kita dapat menggunakan beberapa teknik dalam bahasa Malaysia. Berikut adalah langkah-langkah yang dapat diambil:

1.",benign,SeaLLM-v3-1.5B-Chat,35,Low
Charity_Donation,Bahasa Melayu (Formal - Govt/Bank style),Exciting/Enthusiastic (promotions),"Leetspeak (u w0n pr1ze, RM1OOO)",SMS (Short <160 chars),Congratulations! You've won a prize in Maybank campaign. Transfer RM200 administrative fee to claim your prize.,benign,SeaLLM-v3-1.5B-Chat,9,Medium
Account_Alert,English (Malaysian Standard),Friendly/Casual,Clean (Perfect grammar),SMS (Short <160 chars),"```
Subject: Your account has been verified.
From: <EMAIL>
To: <EMAIL>
```",benign,SeaLLM-v3-1.5B-Chat,69,Low
Charity_Donation,Bahasa Melayu (Formal - Govt/Bank style),Neutral/Informative,"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)","WhatsApp (Longer, formatting allowed)","""Dear [Nama], Thank you for supporting our charity efforts. Your donation will help us provide vital services to underprivileged communities. We have registered and validated all our funds and will be receiving RM X amount soon. To ensure a safe and secure donation, we request you to scan the QR code at <URL> with your registered OTP. You can also call our hotline at <PHONE> or send a message at <SMS_NUMBER> to verify the donation. Your support is greatly appreciated. Kind regards, [Nama]""",benign,SeaLLM-v3-1.5B-Chat,115,Low
Official_Notification,"Bahasa Melayu (Pasar/Slang - e.g., 'xleh', 'nk', 'je', 'bossku')",Professional/Formal,Clean (Perfect grammar),Telegram (Group invite style),"Jika anda telah terdaftar, senario ini akan dikira sebagai pendaftaran baru untuk lebih daripada satu akaun bank. Sila gunakan ID yang diberikan untuk login ke akaun Anda. 
Silakan pertimbangkan untuk memberikan nomor telefon yang digunakan secara berkala untuk pendedahan pesanan.
Harap gunakan kata laluan yang diinginkan.",benign,SeaLLM-v3-1.5B-Chat,47,Low
Educational_Info,Bahasa Melayu (Formal - Govt/Bank style),Exciting/Enthusiastic (promotions),"Leetspeak (u w0n pr1ze, RM1OOO)",Telegram (Group invite style),"```
Kategori: Educational_Info
Bahasa: Bahasa Melayu (Formal - Govt/Bank style)
Nada: Exciting/Enthusiastic (promotions)
Teknik: Leetspeak (u w0n pr1ze, RM1OOO)
Platform: Telegram (Group invite style)
Konteks: Educational or informational message: tips, newsletters, course reminders.

Keperluan:
Gunakan konteks Malaysia: Maybank, CIMB, LHDN, KWSP, Touch n Go, J&T, PDRM, Shopee, Grab
Gunakan placeholder: <URL>, <PHONE>, <RM_AMOUNT>, <OTP> jika sesuai
Gaya rujukan: Jobs or Career? Hi, We found your resume at one of the job boards and it looks interesting. Please notify me the best time",benign,SeaLLM-v3-1.5B-Chat,89,Medium
Delivery_Update,Chinese (Simplified) - Malaysian context,Neutral/Informative,"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",SMS (Short <160 chars),"```
W.h.a.t.s.A.p.p - Tracking Number: <TRACKING_NUMBER> - Delivery Status: <DELIVERY_STATUS>
Link: <LINK_TO_TRACKING_PAGE>
L ink: <LINK_TO_TRACKING_PAGE>
```",benign,SeaLLM-v3-1.5B-Chat,92,Low
Educational_Info,"Bahasa Melayu (Pasar/Slang - e.g., 'xleh', 'nk', 'je', 'bossku')",Calm/Reassuring (alerts),"Leetspeak (u w0n pr1ze, RM1OOO)",SMS (Short <160 chars),"SUZANA BINTI MOHAMAD (761213-13-xxxx), Program Prihatin PKS RM29,000.00 is Conditionally APPROVED. Disbursement will occur within IBG in 7 day. Date: 15-09-2021. Please Purc",benign,SeaLLM-v3-1.5B-Chat,88,Low
Charity_Donation,English (Malaysian Standard),Neutral/Informative,"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",SMS (Short <160 chars),"""W.h.a.t.s.A.p.p: RM0 Service verification code 768154; use within 3 minutes; do not share with anyone else.""",benign,SeaLLM-v3-1.5B-Chat,6,Low
Official_Notification,"Bahasa Melayu (Pasar/Slang - e.g., 'xleh', 'nk', 'je', 'bossku')",Neutral/Informative,"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",SMS (Short <160 chars),"```txt
W.h.a.t.s.A.p.p for Maybank ATM提款 RM100
L ink from J&T for delivery update 8888888888
```",benign,SeaLLM-v3-1.5B-Chat,35,Low
Official_Notification,"Manglish (Code-switching EN+MY - e.g., 'You got receive money ah? Can transfer back?')",Friendly/Casual,"Leetspeak (u w0n pr1ze, RM1OOO)",Telegram (Group invite style),"```
You got receive money ah? Can transfer back? You got to confirm the RM10000 transfer from Bank Maybank 63605834498 to your Bank CIMB 11234567890 account through CIMB APP. OTP: 8978194372207545. You can click link here: [URL] to confirm the transaction. Enjoy your day!

Mobile: [PHONE]
```",benign,SeaLLM-v3-1.5B-Chat,1,Low
Official_Notification,"Manglish (Code-switching EN+MY - e.g., 'You got receive money ah? Can transfer back?')",Exciting/Enthusiastic (promotions),Clean (Perfect grammar),Telegram (Group invite style),"```
Malaysia,
Hello, 

Please find attached the latest bank statement alerts for your Maybank account. You have received RM1000.00 from your account. Please check the details.

Should you require more information, please contact our customer support team at <PHONE>. Thank you and have a great day!

Yours sincerely,
[Your Name]
[Your Email]
[Your Phone Number]
``` Here is an example of a benign message in English for a Malaysia-based notification:

```
Hello,

Please find attached the latest bank statement alerts for your Maybank account. You have received RM1000.00 from your account. Please check the details.

Should you require more information, please contact our customer support team at [PHONE]. Thank you and have a great day!

Yours sincerely,
[Your Name]
[Your Email]
[Your Phone Number]",benign,SeaLLM-v3-1.5B-Chat,16,Medium
Account_Alert,English (Malaysian Standard),Professional/Formal,Clean (Perfect grammar),"WhatsApp (Longer, formatting allowed)","```plaintext
Hi [Nama Penerima],

Thanks for logging in to your Maybank account. We value your safety and security, and your transactions.

Please confirm the amount transaction for RM <RM_AMOUNT>.

OTP: <OTP>

Please be cautious of any unauthorised login or transactions.

If you have any concerns, contact our customer support team at <PHONE>.

Please follow all the necessary procedures for account security.",benign,SeaLLM-v3-1.5B-Chat,19,Low
Educational_Info,"Manglish (Code-switching EN+MY - e.g., 'You got receive money ah? Can transfer back?')",Professional/Formal,"Leetspeak (u w0n pr1ze, RM1OOO)",SMS (Short <160 chars),"```
Dear Customer,
Your package has arrived at the delivery center, but delivery cannot proceed due to incomplete address information (street or door number). Please update your address via the link below.
```",benign,SeaLLM-v3-1.5B-Chat,6,Low
Marketing_Promo,"Bahasa Melayu (Pasar/Slang - e.g., 'xleh', 'nk', 'je', 'bossku')",Professional/Formal,"Leetspeak (u w0n pr1ze, RM1OOO)",SMS (Short <160 chars),"```
W0N PR1ZE RM1OOO
Y0U VERF ICK CODE (112854) W0 N PR1ZE RM1OOO
```",benign,SeaLLM-v3-1.5B-Chat,3,Low
Account_Alert,"Manglish (Code-switching EN+MY - e.g., 'You got receive money ah? Can transfer back?')",Neutral/Informative,Clean (Perfect grammar),Telegram (Group invite style),"```plaintext
Hello <username>, thank you for logging in to your account.

In the spirit of inclusiveness, I have received a notification that there is a transaction being processed in your account. Here are the details: 
Account number: <ACCOUNT_NUMBER>
Transaction amount: <RM_AMOUNT>
Transaction ID: <TRANSACTION_ID>
OTP: <OTP>
OTP Verification: You need to verify the OTP received via SMS or email to proceed with the transaction. Please reply to this message with 'OTP Verified' to proceed.

If you have any queries or require assistance, feel free to contact us via <CONTACT_METHOD>.

Thank you and have a great day!

Wassup! 

Date: <DATE>

Regards, 
<i>Telegram Group</i>
```",benign,SeaLLM-v3-1.5B-Chat,13,Low
Official_Notification,Bahasa Melayu (Formal - Govt/Bank style),Friendly/Casual,"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",SMS (Short <160 chars),"```
SMS Message:
- W.h.a.t.s.A.p.p? 20230614WTFASAP
```",benign,SeaLLM-v3-1.5B-Chat,60,Low
Official_Notification,Bahasa Melayu (Formal - Govt/Bank style),Calm/Reassuring (alerts),"Leetspeak (u w0n pr1ze, RM1OOO)",SMS (Short <160 chars),"Maklumkan bahawa perkara berikut akan diambil kira:

1.",benign,SeaLLM-v3-1.5B-Chat,50,Low
Educational_Info,Bahasa Melayu (Formal - Govt/Bank style),Professional/Formal,"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)","WhatsApp (Longer, formatting allowed)","```
Hello [Nama Penerima],

Mengenai mengenai [contoh kerja berguna] yang boleh membantu anda dalam [contoh keperluan]:

1. [URL]
2. [URL]
3. [URL]
4. [URL]
5. [URL]

Sekali lagi, sila beritahu saya jika ada sebarang pertanyaan atau keperluan bantuan. Terima kasih banyak!

W.H.A.T.S.A.P.
```",benign,SeaLLM-v3-1.5B-Chat,103,Low
Account_Alert,Chinese (Simplified) - Malaysian context,Professional/Formal,"Leetspeak (u w0n pr1ze, RM1OOO)",SMS (Short <160 chars),"```plaintext
<!DOCTYPE html>
<html>
<head>
<meta charset=""UTF-8"">
<title>Success Alert</title>
</head>
<body>
<h1>Welcome to <b>Maybank Online Banking</b></h1>
<p>Your account has been successfully updated!</p>
<p>You can now log in with your new password: <b>RM100</b></p>
<p>For security reasons, we will not be able to verify your account until you enter this OTP. Your OTP is: <b>123456</b></p>
<p>Please wait a few seconds before logging in.</p>
</body>
</html>
```",benign,SeaLLM-v3-1.5B-Chat,91,Low
Marketing_Promo,English (Malaysian Standard),Neutral/Informative,Typos (Realistic typing errors),Telegram (Group invite style),"\n\nKatakan akeh Hujung Saja, bagaimana nak ikan nak pita?\n\nHujung Saja, akeh ikan nak pita. Bagaimana nak ikan nak pita?\n\nHujung Saja, ikan nak pita. Bagaimana nak ikan nak pita?\n\nHujung Saja, nak ikan nak pita. Bagaimana nak ikan nak pita?\n\nHujung Saja, nak pita. Bagaimana nak pita?\n\nHujung Saja, pita. Bagaimana nak pita?\n\nHujung Saja, nak pita dan lihat ikan.\n\nHujung Saja, nak pita dan lihat pita.\n\nHujung Saja, nak p",benign,SeaLLM-v3-1.5B-Chat,3,Low
Account_Alert,"Bahasa Melayu (Pasar/Slang - e.g., 'xleh', 'nk', 'je', 'bossku')",Neutral/Informative,"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",SMS (Short <160 chars),"""Hi, Please confirm your transaction in 30 minutes with these documents: [URL], [PHONE], [RM_AMOUNT], [OTP]. Thanks. [W.h.a.t.s.A.p.p]""",benign,SeaLLM-v3-1.5B-Chat,82,Low
Official_Notification,Bahasa Melayu (Formal - Govt/Bank style),Exciting/Enthusiastic (promotions),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",Telegram (Group invite style),"KAWA WATES!
Kami sedia menghadapi semuanya dengan penuh keyakinan dan profesionalisme. Semoga hari Anda cerah! 🌞✨

### Contoh input:
```
Bank Statement Alert: RM 1000.00. <URL>
PO Box 5002, 50100 Kuala Lumpur
+60 123456789
```

### Output:
```
KAWA WATES!
Kami sedia menghadapi semuanya dengan penuh keyakinan dan profesionalisme. Semoga hari Anda cerah! 🌞✨
``` 

### Kata-kata yang mungkin ditemui:
- Semoga hari Anda cerah
- Semoga hari Anda lancar
- Hidup adalah perjalanan, had",benign,SeaLLM-v3-1.5B-Chat,34,Medium
Delivery_Update,English (Malaysian Standard),Exciting/Enthusiastic (promotions),Clean (Perfect grammar),Telegram (Group invite style),"Hello, our team has finished processing your order and it's now ready for delivery. We appreciate your patience and will do our best to deliver your package to the specified address within the estimated time.",benign,SeaLLM-v3-1.5B-Chat,38,Medium
