text,label,category,language,tone,obfuscation,urgency,source_seed_id
恭喜您在Shopee赢得独家优惠！为了确保您能立即享受此优惠，请PM tepi我们的客服团队，以获取更快的交易流程。数量有限，立即联系<PHONE>以锁定您的专属价格！千万别错过！,scam,Ecommerce_Scam,Chinese (Simplified),Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",High,115
尊敬的用户，您的Lazada订单因系统错误导致交易失败。为避免您的款项损失，请立即点击此链接<URL>进入'退款钱包'页面，输入您的资料以完成退款手续。限时处理，否则逾期将无法退还！快行动！,scam,Ecommerce_Scam,Chinese (Simplified),Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",High,115
好消息！您的包裹已抵达马来西亚海关，正等待清关。为确保包裹顺利派送，请通过此链接<URL>支付RM<RM_AMOUNT>的‘海关清关费’。越快支付，越快收到您的心头好！立即行动！,scam,Ecommerce_Scam,Chinese (Simplified),Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",High,115
亲爱的买家，您在Carousell看中的商品非常抢手！为了给您提供更好的折扣和更快发货，请PM tepi添加我们的WhatsApp <PHONE>。立即锁定您最爱的商品，保证您满意！,scam,Ecommerce_Scam,Chinese (Simplified),Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",High,115
紧急通知：我们发现您的购物账户存在异常交易！为了您的资金安全，请立即点击<URL>进入我们的安全验证页面，我们将引导您完成一笔小额RM<RM_AMOUNT>的'验证性退款'以激活您的安全钱包。这是保护您资金的唯一方法！,scam,Ecommerce_Scam,Chinese (Simplified),Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",High,115
恭喜您！🎉 您被幸运选中成为我们Shopee/Lazada的尊贵会员，赢得了RM<RM_AMOUNT>的购物礼券！立即点击<URL>领取您的奖品，再不领取就过期啦！别让这份惊喜溜走！,scam,Ecommerce_Scam,Chinese (Simplified),Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",High,115
好康报你知！您在Mudah看中的商品现在有特别优惠！PM tepi我们，我们能给您一个更划算的价格，甚至免费送货！WhatsApp联系<PHONE>，立即省下更多！,scam,Ecommerce_Scam,Chinese (Simplified),Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",High,115
紧急！您的Lazada订单支付失败，显示'系统错误'！为了不影响您的购物体验，请立即联系我们的在线客服<PHONE>，我们将协助您手动处理，确保您能尽快收到心仪商品！,scam,Ecommerce_Scam,Chinese (Simplified),Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",High,115
尊贵顾客，您的Shopee Pay '退款钱包' 检测到异常，需要重新激活才能使用！请立即点击<URL>完成验证，您将获得额外RM<RM_AMOUNT>的补贴作为补偿。错过就没有了！,scam,Ecommerce_Scam,Chinese (Simplified),Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",High,115
独家好康！此款限量版商品在Carousell已售罄，但我们有少量库存通过WhatsApp独家发售！PM tepi <PHONE>，抢先预购，享独家折扣！手慢无！,scam,Ecommerce_Scam,Chinese (Simplified),Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",High,115
您的J&T包裹（单号：<OTP>）因‘未支付进口关税’而被扣留！请立刻点击<URL>支付RM<RM_AMOUNT>，确保包裹能在<DATE>前顺利派送！逾期包裹将退回！,scam,Ecommerce_Scam,Chinese (Simplified),Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",High,115
